R2 p
ENSG00000162341 0.369184929714173 5.9222709065665e-06
ENSG00000111732 0.368887632739821 5.987562307741e-06
ENSG00000065833 0.368649989321873 6.04024953698712e-06
ENSG00000214087 0.36839513605695 6.09724717537397e-06
ENSG00000181104 0.367872016286223 6.21586545745956e-06
ENSG00000092758 0.367069408322452 6.40217864722459e-06
ENSG00000083454 0.366991727223322 6.42049322863159e-06
ENSG00000114861 0.366727747747357 6.48310759054915e-06
ENSG00000153406 0.366168728623718 6.61764594100944e-06
ENSG00000075618 0.365842177990242 6.69747326331738e-06
ENSG00000184584 0.365543050576149 6.77140805382948e-06
ENSG00000159217 0.36516166555792 6.86681214645546e-06
ENSG00000122694 0.36501778842158 6.9031376641604e-06
ENSG00000073910 0.364500049316941 7.03538804947001e-06
ENSG00000203995 0.364210448312087 7.11042136369855e-06
ENSG00000198142 0.364004977649463 7.16412281809298e-06
ENSG00000055732 0.36392866355744 7.18416720735249e-06
ENSG00000197444 0.363819138068641 7.21302897255249e-06
ENSG00000074706 0.363686986521401 7.24800139617621e-06
ENSG00000121413 0.363299291720198 7.35154309561281e-06
ENSG00000178234 0.363209047009849 7.37584787957601e-06
ENSG00000135423 0.363202354850696 7.37765328917561e-06
ENSG00000188126 0.362645622394654 7.52934471970335e-06
ENSG00000174607 0.362554372194013 7.55449154654642e-06
ENSG00000124145 0.362311472840433 7.62182394131727e-06
ENSG00000166548 0.362264552979995 7.6348965429851e-06
ENSG00000082781 0.362248819986219 7.63928482072629e-06
ENSG00000170396 0.36146264502408 7.86167941058125e-06
ENSG00000179399 0.361259877423877 7.92004010841119e-06
ENSG00000196735 0.360804772419912 8.05254833791125e-06
ENSG00000205795 0.360418913641424 8.16656123348025e-06
ENSG00000076944 0.360025440755508 8.28442058886658e-06
ENSG00000213221 0.360014078018911 8.28784830386731e-06
ENSG00000165474 0.360001971485181 8.29150189440853e-06
ENSG00000105501 0.359631366441562 8.40409742686177e-06
ENSG00000148935 0.359476567945185 8.45156134499092e-06
ENSG00000198502 0.359130645333954 8.55856003956212e-06
ENSG00000112679 0.358337976398014 8.80867493036064e-06
ENSG00000138134 0.358127112156698 8.87638378532785e-06
ENSG00000128641 0.356283865521063 9.48993566729506e-06
ENSG00000117643 0.35627711912123 9.49225444024648e-06
ENSG00000115318 0.355673553126332 9.70192139515547e-06
ENSG00000162881 0.355349833667638 9.81620166040642e-06
ENSG00000179344 0.354846229125897 9.99656123767956e-06
ENSG00000185442 0.35444486539346 1.01425810230538e-05
ENSG00000064199 0.354423792395817 1.01503039409145e-05
ENSG00000064763 0.354157468938973 1.02483956359034e-05
ENSG00000164111 0.353873474620101 1.035399942384e-05
ENSG00000187942 0.353649803464524 1.04379073952998e-05
ENSG00000178562 0.353319624578189 1.05629661730777e-05
ENSG00000088826 0.353111105143845 1.06426857260367e-05
ENSG00000164695 0.353028129426438 1.06745689363308e-05
ENSG00000140297 0.35269466937227 1.0803628413214e-05
